center_meal,r2_score,mape
10_1062,0.4552263026283633,0.19271777209710783
10_1109,0.8199985711883558,0.173012822419757
10_1198,0.42954012825092325,0.3036833675907546
10_1230,0.6359743717512845,0.8760666648833574
10_1248,0.6631816551954433,0.5359563850873665
10_1311,0.5786114275697221,0.220730324717264
10_1445,0.7889293738015167,0.6105340551299375
10_1543,0.5455569894033634,0.44611586525144925
10_1727,0.8770029118943592,0.18915174810722268
10_1754,0.7757321624024496,0.34683134418336614
10_1778,0.4698966551240108,0.24828384455614216
10_1803,0.6008474229562235,0.2446825207865745
10_1878,0.7526384388616735,0.3169473446284665
10_1885,0.40811309435916043,0.1330250240935014
10_1962,0.8144776024675692,0.26511889007975203
10_1971,0.8535987008535175,0.4851754570861416
10_1993,0.7154306569556941,0.18876608193377922
10_2139,0.3426812371249667,0.5115403698291282
10_2290,0.7420725865484019,0.2604625478302147
10_2306,0.649819561697877,0.7729662791828502
10_2322,0.678365565784893,0.5768693310955765
10_2444,0.8268556483959075,0.7196612281349464
10_2492,0.5311197666237266,0.3871870352921997
10_2539,0.621907924101607,0.21178137247774162
10_2577,0.4876231899387744,0.2351766676152553
10_2581,0.8285689662845239,0.22714740084942717
10_2631,0.6872594617711933,0.3017057602500843
10_2640,0.5441397370880738,0.25253680108440213
10_2707,0.6218499545152244,0.19655348975597783
10_2760,0.7428709596597776,0.25246772113190075
10_2826,0.7230687323066431,0.21412687134650213
10_2867,0.7645954164357245,0.6079109372218611
11_1062,0.5035165728411244,0.17493209075672198
11_1109,0.8267449207060922,0.2300053903686162
11_1311,0.4369265636710997,0.2558361928341656
11_1727,0.8664713393712273,0.24990821512529204
11_1754,0.831160828336477,0.5193059797225414
11_1778,0.41637336484402077,0.24584873752182035
11_1803,0.24409798164862262,0.22406961220053961
11_1878,0.6624363654035041,0.5711160020231975
11_1885,0.6478087645940485,0.14599472318713655
11_1962,0.7703832073569903,0.4166674384848965
11_1971,0.8375276131934858,0.6846798108216162
11_1993,0.5827820297891855,0.20521352564792927
11_2290,0.811897196164203,0.33482730633770713
11_2322,0.7078329101553368,0.4715920755018066
11_2539,0.7303175008691585,0.26330966745026996
11_2581,0.765334058597893,0.5757237516491067
11_2640,0.6546738593282028,0.3368227812594455
11_2707,0.5637217218335895,0.19948899675924886
11_2760,0.5553523088343326,0.4402754759941736
11_2826,0.816750143435314,0.21993052049098089
13_1062,0.46250703845078855,0.1887937158893394
13_1109,0.753023360331642,0.22171167705580003
13_1198,0.44846125694734174,0.21382933056863426
13_1311,0.6537614902685497,0.20364377927792485
13_1445,0.8503248854042289,0.41495196140323853
13_1558,0.7184800426330656,0.5637224641908105
13_1727,0.7816523817331107,0.25010799047123594
13_1754,0.7736531044907602,0.30889059534365926
13_1778,0.2913997729599995,0.23762861117405776
13_1803,0.5013282284218615,0.19938439785192205
13_1878,0.6414783232829104,0.2792219768962653
13_1885,0.5626702304910951,0.13321044307943458
13_1962,0.8329669061435995,0.24065206702075567
13_1971,0.6981155639903263,0.7405076636161638
13_1993,0.5213171130162374,0.15190263552898203
13_2290,0.8244116517910457,0.19157629040292065
13_2304,0.5123597651229269,0.33573990179751567
13_2444,0.8147294738813781,0.46097717688057865
13_2539,0.5542035453147436,0.1910591855281724
13_2577,0.4726852340673716,0.24969475797563165
13_2581,0.8153254337766087,0.3092132157189926
13_2631,0.7358115255574804,0.35030667998008647
13_2640,0.6790220016040317,0.20619776547057175
13_2707,0.48825132869438304,0.1862829037234651
13_2760,0.7598235167907307,0.28909179710009353
13_2826,0.7682246228587152,0.19638236204018666
13_2867,0.8576893651279477,0.38603589927471105
14_1062,0.28757659673342373,0.3441361127061264
14_1109,0.7530729031866437,0.3445221095022118
14_1311,0.411462369567527,0.33432167322649947
14_1727,0.8034060564675921,0.35493919091108067
14_1754,0.8263609660412885,0.856133829970688
14_1778,0.32006030441590827,0.39733740740517537
14_1803,0.3190542793114095,0.28601006524757516
14_1885,0.34700968142745536,0.1977998788815905
14_1993,0.510942130140995,0.24039213201911871
14_2290,0.7979518806388635,0.5106244882283244
14_2322,0.6615849796369377,0.5193129925751562
14_2539,0.12951005326525178,0.2886204628301672
14_2707,0.27650833062393065,0.2964874528389256
14_2826,0.7751694961194762,0.32520644760484346
17_1062,0.33438467436027064,0.2740114061018994
17_1109,0.7714477472616768,0.26209671323748346
17_1198,0.43801823142541574,0.4177356987986338
17_1311,0.40153216689751137,0.3913459784949157
17_1727,0.7909817492355575,0.3616741210294294
17_1754,0.7723614905641649,0.6275460997491673
17_1778,0.30838429082571006,0.3849831882658821
17_1803,0.4807858879464202,0.308669659355203
17_1885,0.45367420327535635,0.16130794254837494
17_1993,0.7043280110507746,0.2043531425800968
17_2290,0.8272286111564647,0.33575656979507207
17_2707,0.4067735942622941,0.24098517529348662
17_2760,0.8050727410460377,0.38045442570549526
17_2826,0.7316556497479312,0.3034380967925859
20_1062,0.2761785399344162,0.3213642690270772
20_1109,0.7574703200758437,0.25310812028903135
20_1311,0.37482730108776907,0.26675217869662243
20_1727,0.759725627030694,0.5298154856477182
20_1754,0.6824017386387399,0.5394052862970802
20_1778,0.2937938391764692,0.44924462264431536
20_1803,0.25171833754903894,0.3054408698061798
20_1885,0.6189370324323215,0.15517102100979216
20_1962,0.7849718221048959,0.4926382496256379
20_1971,0.8195145168907525,0.7866471934417381
20_1993,0.5116211303901483,0.1961622480680045
20_2290,0.8007542424281098,0.29941600820069064
20_2539,0.6233476567108827,0.2883989883249634
20_2577,0.35107657982819196,0.5203375391929409
20_2640,0.6489210782266742,0.33873711696298087
20_2707,0.43845121995711744,0.2622869876837871
20_2760,0.5050563653367142,0.4266751203358676
20_2826,0.6009300689905588,0.35519492892310156
23_1062,0.449889660443869,0.37700416943355
23_1109,0.8075758746823539,0.21222754261417887
23_1438,0.7999084756208737,0.5961119523924934
23_1727,0.8386800046942303,0.29027414208309077
23_1754,0.790634669889083,0.5804429049737898
23_1778,0.3444528898716175,0.3137974431449353
23_1885,0.6354537847029307,0.1914513372345033
23_1962,0.7760107555960973,0.5266025057716893
23_1993,0.6822556729306528,0.24858485696239516
23_2290,0.828815357026973,0.36253723399553767
23_2539,0.5355684185485511,0.29303615409919825
23_2707,0.37059755442345144,0.24959172159055287
23_2760,0.5634089084270357,1.058875834923259
23_2826,0.6748116847388046,0.2725033409070471
26_1062,0.4981866600611278,0.22843852965678615
26_1109,0.6305632502449581,0.35768765941118713
26_1207,0.5392708049051755,0.4059816115092615
26_1230,0.5668447696286449,0.41497530835151214
26_1727,0.8458083735759202,0.36393696961461547
26_1754,0.7679629514699334,0.5792485668476532
26_1885,0.7546451710839588,0.26109169152633116
26_2290,0.7711085454035276,0.33184892718744496
26_2322,0.5809423849871946,0.30670061528072373
26_2707,0.4231831994139842,0.34059688216209
26_2826,0.5998340026034901,0.465124246690387
27_1062,0.47107681673066815,0.22189445492014326
27_1109,0.8056094760992125,0.20165369755927154
27_1438,0.6131105366603522,0.2841864761234144
27_1727,0.8826378307053492,0.27824238427677955
27_1754,0.7820904246479825,0.42025710760785456
27_1778,0.2791941080699739,0.33036013946257203
27_1847,0.603055052098288,0.46838928789875783
