center_meal,r2_score,mape,Error
55_1885,0.5245433558119763,0.3717246096786093,
55_1993,0.6226599936689772,0.3463845630500509,
55_2539,0.5170474800479312,0.40514610332436435,
55_2631,0.33223161720762107,0.6763242126207104,
55_1248,0.6058610013367147,0.4623577311528247,
55_1778,0.25534071979912454,0.5316120651507215,
55_1062,0.22027670128105004,0.42850736613498314,
55_2707,0.4965325011247558,0.40589206915484394,
55_1207,0.7267718434807304,0.6405833565203214,
55_1230,0.667864971439484,0.8838037714778006,
55_2322,0.6987173256527521,0.7137401556075719,
55_2290,0.7481455729629578,0.6248010717738811,
55_1727,0.7213132360621393,0.27478687848651867,
55_1109,0.6120359222928746,0.2863528729509539,
55_2577,0.5029666062265654,0.36311090903540494,
55_2640,0.46101899425416304,0.5176618369544138,
55_2826,0.5196000954570081,0.3160043012110697,
55_1754,0.7977670892362458,1.0976441262715646,
55_1971,0.8513635190960354,0.9638810215906354,
55_1198,0.2266014973322581,0.5375194445615572,
55_1311,0.14983445201732815,0.5053705376720063,
55_1803,0.17332428777824838,0.6260971939152622,
55_1558,0.646740839604414,0.7039100874702818,
55_2581,0.6545829006863948,0.7192169078937907,
55_1962,0.7017046201922688,0.5560570458097636,
55_2444,0.5879087676436746,0.8344228632360094,
55_2867,0.6776613618626661,0.5408337482534004,
55_1525,0.4726492569281586,0.4507342571236114,
55_2704,0.20719161838183953,0.4889560572093438,
55_2492,0.3021862719919929,0.4707719600424745,
55_1543,0.19136810839245055,0.5962027960407114,
55_2304,0.24959597745153694,0.43880081288276784,
55_2664,0.15963104945569984,0.4154360072760845,
55_2569,0.5229037658625288,0.4903696573573917,
55_2490,0.7839885944332468,0.7410145565196176,
24_1885,0.6669032859283109,0.12471315308633309,
24_1993,0.689972613271456,0.15898023577897671,
24_2539,0.7158682880365188,0.19628202006532697,
24_2139,0.3156375330476304,0.4343488254018543,
24_1778,0.49294291848342164,0.24155620578988085,
24_1062,0.37821261107490434,0.26212059551661376,
24_2707,0.41327321714628096,0.24056806984394147,
24_1207,0.7163983596202468,0.6129156411791284,
24_1230,0.7322211815111861,0.5538971932904424,
24_2322,0.6357509589142794,0.5045758276308481,
24_2290,0.8268200006874874,0.16559834572924595,
24_1727,0.8029346000022561,0.24677345188151237,
24_1109,0.6910269464564232,0.22685034172858576,
24_1571,0.5530675245513685,0.542320254824555,
24_2956,0.3620838726512453,0.5871142138769585,
24_2577,0.46410017348349064,0.3486917878651289,
24_2640,0.6255707511779198,0.305357701288427,
24_1878,0.6438971512624769,0.303824143449573,
24_2306,0.7830299984182358,0.5927320132623058,
24_1216,0.8229992817907597,0.3167820951699567,
24_2126,0.335627266361733,0.5415684450370097,
24_2826,0.5349320901505733,0.31342766670530603,
24_1754,0.733422186938562,0.40189361416115893,
24_1971,0.8901911712139741,0.3533391255873134,
24_1902,0.20519556197371291,0.6104318310350105,
24_1770,0.18047156004566967,0.5832209274335448,
24_1198,0.5436901338289747,0.35237771803955975,
24_1311,0.3992183011793783,0.31738738192577826,
24_1803,0.2946729356044986,0.36594169768342233,
24_1438,0.3118549486324448,0.2963322754768055,
24_2494,0.42726814347160624,0.231264192303111,
24_1847,0.35065393637646614,0.35759487828739317,
24_1558,0.8379568891392007,0.5496165213270516,
24_2581,0.8464177837440082,0.35149014637184617,
24_1962,0.8137894352511404,0.3302484586976394,
24_1445,0.7425865728809766,0.7028769777965753,
24_2867,0.772425618543953,0.5849788282529604,
24_2760,0.6963832427884004,0.2702715565413155,
24_1525,0.7719589620597114,0.22427082374169333,
24_2704,0.692585060350345,0.28464760016146995,
24_1543,0.4684418031079097,0.42739123987427635,
24_2304,0.29559125771286376,0.48276468800422423,
24_2664,0.7334754894150256,0.23573293166014062,
24_2569,0.6980252927632016,0.24528583285696265,
24_2490,0.8468260801839879,0.32137072831532365,
11_1885,0.6478087645940485,0.14599472318713655,
11_1993,0.5827820297891855,0.20521352564792927,
11_2539,0.7303175008691585,0.26330966745026996,
11_2139,0.29962374913164613,0.5671444197638686,
11_2631,0.6291748880018244,0.5925119354161564,
11_1248,0.727190369522748,0.4704685574877183,
11_1778,0.41637336484402077,0.24584873752182035,
11_1062,0.5035165728411244,0.17493209075672198,
11_2707,0.5637217218335895,0.19948899675924886,
